team,mean_rank,median_rank,best_rank,worst_rank,seasons_count,rank_stddev,mean_normalized_rank,rank_stability
DePaul,84.4,70,58,127,5,29.7,23.4,29.7
Virginia,114.2,71,53,229,5,76.0,32.2,76.0
Vanderbilt,82.2,72,22,160,5,51.9,23.1,51.9
Texas Tech,81.2,73,68,107,5,15.3,22.7,15.3
Purdue,88.4,74,49,137,5,34.6,24.6,34.6
Ball State,94.8,75,66,143,5,32.4,26.6,32.4
Houston,99.0,76,67,178,5,46.0,27.5,46.0
Rhode Island,89.8,77,67,117,5,24.3,25.1,24.3
Portland,100.4,78,78,161,5,35.6,28.1,35.6
Boston College,74.6,79,47,87,5,16.2,20.7,16.2
California,101.6,80,39,238,5,78.8,28.7,78.8
BYU,65.2,81,11,105,5,38.0,18.0,38.0
Saint John's,98.4,82,55,142,5,39.8,27.6,39.8
Auburn,83.6,83,45,128,5,31.6,23.4,31.6
Wake Forest,89.2,84,53,129,5,29.0,24.7,29.0
Penn State,84.0,85,27,130,5,36.9,23.4,36.9
